Brand,Area,Whiskies,Votes,Rating,WB Ranking
Burberrys',Scotland,9,2,77.5,E
Burgdorfer,Switzerland,8,3,71.83,F
Burgenwhisky,Germany,1,NA,NA,G
Burke & Barry,Scotland,3,1,70,F
Burke's,Ireland,7,4,87.29,C
Burn of Speyside,Scotland,3,3,81.08,D
Burn Stewart,Scotland,4,2,79,E
Bùrn-Taobh,Scotland,1,1,86.71,C
Burns Heritage,Scotland,2,NA,NA,G
Burns Nectar,Scotland,3,1,64,G
Burns Night,Scotland,1,1,84,D
Burnside,Scotland,47,38,86.35,C
Burnside Bourbon,United States,2,2,78.13,E
Bush Pilot's,Canada,1,NA,NA,G
Bushmills,Ireland,229,140,82.74,D
Butcher's,United States,1,1,83,D
Butterfly Temptations,Scotland,1,1,82.5,D
C&J McDonald's,Scotland,7,NA,NA,G
C.E.O.,Canada,1,NA,NA,G
Cabin Fever,United States,1,1,72,F
Cabin Still,United States,9,4,78.69,E
Cabrach,Scotland,1,NA,NA,G
Cache Creek,United States,1,NA,NA,G
Caermory,Scotland,3,2,85.67,C
Café Z,Germany,1,1,86.5,C
Cailleach,Scotland,5,4,83.63,D
Cairn Guish,Scotland,1,1,88,C
Cairngorm Whisky Centre,Scotland,2,NA,NA,G
Cairngorm's Dew,Scotland,1,1,76,E
Cairnleigh,Scotland,1,1,79,E
Cairnluish,Scotland,2,2,68,G
Cairns,Scotland,3,1,80,D
Calchou,Scotland,2,2,85,C
Caldera,Canada,2,1,83,D
Caledonian,Scotland,72,49,86.68,C
Calumet Farm,United States,3,1,84.38,D
Calvert Extra,United States,2,1,78,E
Cambus,Scotland,116,85,85.09,C
Cameo,Scotland,2,NA,NA,G
Cameron,Scotland,1,NA,NA,G
Cameron's,Scotland,4,1,75.5,E
Cameronbridge,Scotland,145,107,84.67,D
Camp 1805,United States,2,NA,NA,G
Campbell's,Scotland,10,1,85,C
Campbeltown,Scotland,5,4,88.13,C
Campbeltown Blended Malt,Scotland,21,19,86.98,C
Campbeltown Commemoration,Scotland,24,24,82.56,D
Campbeltown Loch,Scotland,21,15,82.35,D
Campbeltown Malt Scotch Whisky,Scotland,2,2,89,C
Campbeltown PBS,Scotland,3,3,85.83,C
Campbeltown Region,Scotland,1,1,82.55,D
Campbeltown Row,Scotland,1,1,89,C
Canada House,Canada,1,NA,NA,G
Canadian,Canada,1,1,58,G
Canadian Club,Canada,68,38,76.22,E
Canadian Leaf,Canada,1,NA,NA,G
Canadian Mist,Canada,6,4,58.88,G
Canadian Mountains,Canada,1,1,82,D
Canadian Registry,Canada,1,NA,NA,G
Canadian Rockies,Canada,1,1,86,C
Canadian Rye,Canada,1,NA,NA,G
Canadian Silk,Canada,1,NA,NA,G
Canadian Special Old,Canada,1,1,65,G
Canadian Tippers,Canada,2,1,46,G
Canadian VSP,Canada,1,NA,NA,G
Canadian Whiskey,Canada,1,1,71,F
Canadian Whisky,Canada,2,1,82,D
Candid,Scotland,2,2,83.84,D
Canto Cask,Scotland,17,12,84.48,D
Cantoni Bernardo,Scotland,1,1,91.25,B
Caol Ila,Scotland,3145,2225,86.75,C
Cap 4,Scotland,1,1,73,F
Capercaillie,Scotland,2,NA,NA,G
Caperdonich,Scotland,420,338,87.38,C
Capital Dram,Scotland,1,NA,NA,G
Captain Burn's,Scotland,1,NA,NA,G
Captain Don's,Netherlands Antilles,3,2,65.75,G
Carbon Glacier Distillery,United States,3,NA,NA,G
Cardhu,Scotland,126,83,82.24,D
Caribou Crossing,Canada,2,1,86.5,C
Carl T.,United States,1,NA,NA,G
Carlingford,Ireland,1,1,78.5,E
Carlton,Scotland,3,2,78,E
Carlyles' VAT,Scotland,1,NA,NA,G
Carnaby St.,Scotland,10,1,86,C
Carnegie's,Scotland,1,NA,NA,G
Carraig Dubh,Scotland,1,1,87,C
Carsebridge,Scotland,75,55,87.12,C
Cascade,United States,1,NA,NA,G
Cask & Smoke,United States,1,NA,NA,G
Cask Force,Scotland,1,1,85,C
Cask Islay,Scotland,7,7,82.28,D
Cask Orkney,Scotland,1,1,87.21,C
Caskieben,Scotland,2,1,89,C
Cassidy's,Ireland,2,1,77,E
Cassius Clay,United States,1,1,85.75,C
Castle Pride,Scotland,3,NA,NA,G
Castle Rock,Scotland,3,1,58.5,G
Castlebay,Scotland,1,NA,NA,G
Castlewood,Scotland,1,NA,NA,G
Catdaddy,United States,1,NA,NA,G
Cathead Distillery,United States,1,NA,NA,G
Catoctin Creek,United States,18,7,76.77,E
Catskill,United States,2,1,85,C
Catto,Scotland,3,3,83.13,D
Catto's,Scotland,16,7,78.74,E
Cavalier,Scotland,1,NA,NA,G
Cavanagh,Ireland,1,NA,NA,G
Cave Aquila,,1,1,84.67,D
Cawdordew,Scotland,2,1,90,B
Cearban,Scotland,1,1,70,F
Cedar Brook,United States,3,1,89,C
Cedar Ridge,United States,6,1,83,D
Celebration,Scotland,4,NA,NA,G
CELP,Scotland,3,3,77.57,E
Celtic,Scotland,12,NA,NA,G
Celtic Cask,Ireland,24,12,86,C
Celtic Desire,Netherlands,1,NA,NA,G
Celtic Poteen,United Kingdom,2,NA,NA,G
Celtic Whisky,United Kingdom,NA,NA,NA,G
Celtic Wysgi,United Kingdom,NA,NA,NA,G
Celtique Connexion,France,22,16,85.88,C
Centenary Blend,Scotland,2,1,87.33,C
Central Standard,United States,1,NA,NA,G
Century Bonded,United States,1,NA,NA,G
Century Club,United States,1,NA,NA,G
Chairman's Celebration Reserve,Scotland,1,NA,NA,G
Chamberlains,Scotland,1,1,84.5,D
Champion,Cyprus,2,1,78,E
Chapin & Gore,United States,1,NA,NA,G
Charbay,United States,8,3,85.61,C
Charleston,Scotland,1,NA,NA,G
Charlie Stuart,Scotland,1,NA,NA,G
Charter Oak,United States,1,1,90,B
Chattanooga Whiskey,United States,2,NA,NA,G
Cheers England,Scotland,1,NA,NA,G
Chequers,Scotland,15,5,83.7,D
Cherry,Japan,2,2,80.09,D
Chestnut Farms,United States,1,NA,NA,G
Chesty Whiskey,United States,2,NA,NA,G
Chevy Chase,Scotland,1,NA,NA,G
Chichibu,Japan,209,184,87.39,C
Chichibu X Hanyu,Japan,1,1,89.33,C
Chicken Cock,United States,13,3,75,E
Chicken Hill,Switzerland,14,6,76.75,E
Chieftain's,Scotland,32,20,87.69,C
Chieftain's Choice,Scotland,7,6,90.83,B
Chimera,Scotland,3,2,85.9,C
Chita,Japan,9,7,81.88,D
Chivalry,Scotland,1,1,65,G
Chivas Brothers,Scotland,24,11,85.3,C
Chivas De Danu,Scotland,1,NA,NA,G
Chivas Regal,Scotland,110,70,77.64,E
Choicest Liqueur,Scotland,1,NA,NA,G
Christmas Malt,Scotland,9,7,85.81,C
Christopher & Co.,Scotland,1,NA,NA,G
Churchill,United States,1,NA,NA,G
Churchill,Scotland,1,NA,NA,G
Churchill's,Scotland,NA,NA,NA,G
Churfirsten Brennerei,Switzerland,1,NA,NA,G
Churtons,Scotland,1,NA,NA,G
Cill Áirne Cask,Ireland,1,NA,NA,G
Clachaig,Scotland,1,NA,NA,G
Cladach,Scotland,1,1,88,C
Claggain,Scotland,1,NA,NA,G
Clan Ardroch,Scotland,1,NA,NA,G
Clan Ben,Scotland,1,NA,NA,G
Clan Blend,Scotland,2,2,73.5,F
Clan Campbell,Scotland,33,10,71.3,F
Clan Denny,Scotland,8,7,84.8,D
Clan Fraser,Scotland,3,2,75,E
Clan Gold,Scotland,4,1,75,E
Clan House,Scotland,1,1,75,E
Clan MacGregor,Scotland,14,6,68.25,G
Clan More,Scotland,1,1,84,D
Clan Murdock,Scotland,2,NA,NA,G
Clan Murray,Scotland,2,2,72,F
Clan Northe,Scotland,1,NA,NA,G
Clan Robertson,Scotland,2,NA,NA,G
Clan Tartan,Scotland,1,NA,NA,G
Clandestine,Scotland,1,1,86.85,C
Clansman,Scotland,2,1,72,F
Claravallis,Austria,1,NA,NA,G
Clarke's,United States,6,5,67.93,G
Classic,Scotland,2,1,85.06,C
Classic Campbeltown,Scotland,2,2,85.65,C
Classic Highland,Scotland,1,1,80,D
Classic Islay,Scotland,2,2,82.17,D
Classic Lowland,Scotland,1,NA,NA,G
Classic of Islay,Scotland,181,156,86.16,C
Clementine,United States,1,NA,NA,G
Cleveland,United States,12,4,80.96,D
Clifton Moore,Scotland,3,NA,NA,G
Climax,United States,2,NA,NA,G
Cloc Whisky,Denmark,2,1,79,E
Cloch Fhealsúnaí,Ireland,1,1,82,D
Clonakilty,Ireland,2,2,84.42,D
Clonmel,Ireland,2,2,83,D
Clontarf,Ireland,23,16,72.03,F
Club 45,Scotland,3,NA,NA,G
Club 73,France,1,NA,NA,G
Club 99,Scotland,2,1,70,F
Club Bourbon,United States,1,NA,NA,G
Club Deluxe,Scotland,1,NA,NA,G
Club Man,Scotland,1,NA,NA,G
Cluny,Scotland,22,7,79.63,E
Clyde May's,United States,9,4,79.72,E
Clydebank,Scotland,2,1,64.5,G
Clynelish,Scotland,1589,1233,86.51,C
Coal Yard,United States,2,NA,NA,G
Coburg 1830,Belgium,1,1,81,D
Cock of the Walk,United States,1,NA,NA,G
Cockburn,Scotland,5,3,75.11,E
Cockburns,Scotland,2,2,83.13,D
Cody Road,United States,8,2,81,D
Coepenick Collection,Scotland,1,NA,NA,G
Coeur de Cave,Scotland,3,2,87.58,C
Cofaidh,Germany,3,1,86,C
Coillmór,Germany,50,38,70.24,F
Coilltean,Scotland,6,6,90.67,B
Coinnich,Scotland,2,2,80.5,D
Coleburn,Scotland,78,53,86.34,C
Coleraine,Ireland,2,2,84.34,D
Colkegan,United States,4,3,82.93,D
Collabor&tion,United States,2,1,79,E
Collection Moon,Scotland,2,1,83.33,D
Collectivum XXVIII,Scotland,1,1,86.91,C
Collector's Edition,United States,1,NA,NA,G
Collectors,Scotland,1,NA,NA,G
Collier and McKeel,United States,2,1,72,F
Collingwood,Canada,3,2,81.49,D
Colonel Black,Scotland,1,NA,NA,G
Colonel E.H. Taylor,United States,16,14,86.96,C
Colonel J.W. Dodge,United States,1,NA,NA,G
Colonel Lee,United States,4,2,80,D
Colonel Randolph,United States,1,NA,NA,G
Colonial Blend,Scotland,1,NA,NA,G
Colorado Gold,United States,3,1,75,E
Columban of Iona,Ireland,1,1,90.68,B
Columbus,Indonesia,1,NA,NA,G
Colville,United States,2,NA,NA,G
Còmhlan,Scotland,5,4,86.15,C
Coming from Islay,Scotland,4,3,87.63,C
Commonwealth Games,Scotland,2,1,88.5,C
Conaill Carnagh,Ireland,1,1,86,C
Concannon,Ireland,1,1,70.5,F
Coney Island Carlo,United States,1,NA,NA,G
Confidential Cask,Scotland,9,9,85.75,C
Congratulations,Scotland,2,NA,NA,G
Connacht,Ireland,2,1,82,D
Connecticut Branford,United States,1,NA,NA,G
Connemara,Ireland,87,72,82.82,D
Conrad Hilton,Scotland,1,NA,NA,G
Conrad's 1874,United States,1,NA,NA,G
Conroy's,,1,NA,NA,G
Constantine Stores,United Kingdom,1,1,94,B
Consulate,Scotland,4,NA,NA,G
Continental's,United States,1,NA,NA,G
Convalmore,Scotland,107,80,86.83,C
Conviction,United States,1,NA,NA,G
Cooley,Ireland,80,64,85.94,C
Coomara,Ireland,1,NA,NA,G
Cooper's Mark,United States,1,NA,NA,G
Coopers & Lybrand Deloitte,Scotland,1,1,89,C
Coopers' Craft,United States,1,NA,NA,G
Coopers' Select,Scotland,1,NA,NA,G
Cooperstown,United States,2,1,46,G
Copper Dog,Scotland,1,1,80.67,D
Copper Fox,United States,3,2,81.31,D
Copper Run,United States,1,NA,NA,G
Coppersea,United States,4,1,88,C
Copperworks,United States,5,1,87,C
Corbin Cash,United States,1,NA,NA,G
Corby's,United States,1,NA,NA,G
Cork Distilleries Co.,Ireland,2,NA,NA,G
Corn Star,United States,1,NA,NA,G
Corner Creek,United States,3,3,82.07,D
Corney & Barrow,Scotland,2,NA,NA,G
Cornish Moonshine,United Kingdom,5,2,54,G
Corrour,Scotland,1,NA,NA,G
Corryhabbie,Scotland,2,2,88,C
Corsair Artisan Distillery,United States,20,6,76.22,E
Corshelloch,Scotland,1,1,85.5,C
Corti Brothers,United States,2,NA,NA,G
Corvill,Germany,2,1,40.67,G
Cosa Nostra,,1,1,86,C
Cotswolds Distillery,United Kingdom,20,10,81.99,D
Cotton Hollow,United States,3,NA,NA,G
Cottons Choice No.1,Scotland,1,NA,NA,G
Cougar Bourbon,United States,2,NA,NA,G
County Louth,Ireland,1,1,81.57,D
County of Antrim,Ireland,2,2,90.5,B
Couvreur's Clearach,France,5,5,77.16,E
Covent Garden,Scotland,3,NA,NA,G
Coylumbridge,Scotland,1,1,85,C
Coyote Ugly,Canada,1,1,70,F
Crabbie,Scotland,8,2,86,C
Cradle Mountain,Australia,8,6,84.26,D
Cragabus,Scotland,2,2,81.85,D
Cragganmore,Scotland,540,390,84.64,D
Craig Athol,Scotland,4,NA,NA,G
Craigardle,Scotland,1,NA,NA,G
Craigdarroch,Canada,1,NA,NA,G
Craigduff,Scotland,5,5,87.47,C
Craigellachie,Scotland,615,417,84.5,D
Craigleith,Scotland,NA,NA,NA,G
Craiglodge,Scotland,4,3,73.58,F
Craigmills,Scotland,1,1,83.25,D
Craignure,Scotland,2,2,72,F
Craigpark,Scotland,1,NA,NA,G
Craoi na Móna,Ireland,3,2,77.83,E
Crater Lake,United States,3,1,76,E
Craw's Nest,Scotland,1,NA,NA,G
Crawford's,Scotland,15,11,82.66,D
Crazy 5,Scotland,1,1,83,D
Crazy Christmas Edition,Germany,1,1,88,C
Crazy Cock,India,1,1,83,D
Crazy Creature Edition,Scotland,1,1,86.67,C
Crazy Glen,Scotland,4,1,83.25,D
Crazy Horse,Scotland,2,1,79,E
Crazy Stallion,Scotland,1,1,81.5,D
Crazy Uncle,Australia,2,1,81,D
Cream of Bourbon,United States,1,NA,NA,G
Cream of Kentucky,United States,2,NA,NA,G
Creations,Scotland,15,15,86.42,C
Crescent,Japan,2,NA,NA,G
Crimson,Canada,1,NA,NA,G
Crinan Canal Water,Scotland,1,NA,NA,G
Croftengea,Scotland,52,38,83.23,D
Crois Chill Daltain,Scotland,2,2,91.24,B
Cromdale,Scotland,4,2,82.75,D
Cromwell's,Scotland,2,NA,NA,G
Cross,Scotland,1,NA,NA,G
Crow,United States,1,1,79,E
Crown 99,Thailand,1,1,66,G
Crown of Kentucky,United States,1,1,87,C
Crown of Scotland,Scotland,1,NA,NA,G
Crown Reserve,Scotland,2,NA,NA,G
Crown Royal,Canada,58,36,77.44,E
Crown Salute,Scotland,1,NA,NA,G
Crown Vat,Scotland,1,NA,NA,G
Crownhill,Austria,1,1,60,G
Cú Chulainn,Ireland,2,2,84.32,D
Cu Culhain's Hibernian,Ireland,1,1,80,D
Cú Dhub,Scotland,4,3,67.05,G
Cùl na Creagan,Scotland,2,NA,NA,G
Cullicudden,Scotland,3,NA,NA,G
Culloden,Scotland,5,2,80,D
Culter Highland,Scotland,1,1,85,C
Culter Speyside,Scotland,1,1,83,D
Cumberland Cask,United States,1,NA,NA,G
Cumbrae Castle,Scotland,1,NA,NA,G
Curtis,Scotland,4,NA,NA,G
Cut Spike,United States,2,2,87,C
Cutty Black,Scotland,2,1,71.67,F
Cutty Sark,Scotland,61,41,79.36,E
Cyril's Singlewood,New Zealand,4,1,82,D
Cyrus Noble,United States,1,1,84.5,D
D & D,Scotland,1,NA,NA,G
D is for Decadence,Scotland,1,1,85,C
D'Arche,,1,NA,NA,G
D. W. D. - Dublin Whiskey Distillery,Ireland,2,2,82.5,D
D.U.C,France,1,NA,NA,G
Da Johann,Austria,2,NA,NA,G
Dà Mhìle,United Kingdom,4,2,79,E
Dad's Hat,United States,11,5,80.03,D
Daftmill,Scotland,2,2,87.59,C
Dailuaine,Scotland,580,418,84.96,D
Dakota Spirits,United States,2,NA,NA,G
Daks,Scotland,2,NA,NA,G
Dalaruan,Scotland,5,2,84.44,D
Dalchully,Scotland,1,NA,NA,G
Dallas Dhu,Scotland,306,214,87.7,C
Dallmayr Islay Select,Scotland,3,3,86.67,C
Dallmayr Speyside Select,Scotland,2,1,80,D
Dalmore,Scotland,533,384,85.86,C
Dalriada,Scotland,1,1,76.33,E
Dalvany,Switzerland,1,NA,NA,G
Dalvegan,Scotland,3,1,82,D
Dalwhinnie,Scotland,105,79,83.65,D
Dancing Cows,United Kingdom,2,NA,NA,G
Dancing Pines,United States,1,NA,NA,G
Dandie Dinmont,Scotland,1,NA,NA,G
Danfield's,Canada,2,2,87.38,C
Daniel Boone,United States,3,1,77,E
Daniel Crawford's,Scotland,3,NA,NA,G
Danne's,Germany,8,3,70.11,F
Dannie Diesel's,United States,1,NA,NA,G
Danny Boy,Ireland,3,2,80.95,D
Danny Deever's,Scotland,1,NA,NA,G
Darach - Ruadh,Scotland,2,2,83.25,D
Darby's Reserve,United States,1,NA,NA,G
Dark Castle,Scotland,1,NA,NA,G
Dark Corner,United States,6,NA,NA,G
Dark Horse,United States,4,2,80,D
Dark Northern,United States,1,NA,NA,G
Dark Whisky,Scotland,1,1,73.5,F
Darkness!,Scotland,1,1,91.5,B
Dartmoore,Scotland,1,NA,NA,G
David Nicholson,United States,1,NA,NA,G
David Nicholson 1843,United States,5,1,84.22,D
David Ston,Scotland,1,NA,NA,G
Daviess County,United States,1,NA,NA,G
DB 53,France,1,1,82,D
De IJsvogel,Netherlands,5,2,75.88,E
De Luxe,Scotland,1,NA,NA,G
Dean's,Scotland,2,1,68.6,G
Deanston,Scotland,204,164,84.42,D
Deanston Mill,Scotland,4,3,59,G
Death's Door,United States,2,1,74,F
Deerhammer,United States,3,NA,NA,G
Deerstalker,Scotland,9,6,80.08,D
Defender,Scotland,2,NA,NA,G
Defiant,United States,3,2,71.56,F
Deheck,Germany,1,1,81,D
Del Bac,United States,6,5,81.9,D
Delaney's,Ireland,1,1,76,E
Delaware Phoenix Distillery,United States,5,1,79,E
Delicious Malts,,1,1,87,C
Delilah's,Scotland,2,2,85.56,C
DeLuxe Blended,Scotland,1,1,88.17,C
Delva,Scotland,1,NA,NA,G
DenHool,Netherlands,3,2,82.3,D
Der Falckner,Germany,6,1,70,F
Der kleine Lord,Germany,1,NA,NA,G
Der Kolonist,Germany,1,1,76,E
Der Schwarzbrenner,Germany,1,NA,NA,G
Derrina,Germany,4,3,74,F
Desmond & Duff,Scotland,4,1,81,D
Destillerie Hirtner,,1,NA,NA,G
Deventer Whisky,Scotland,1,NA,NA,G
Deviant,Scotland,1,1,89.88,C
Devil John,United States,2,NA,NA,G
Devil's Share,United States,4,NA,NA,G
Devolution Dram,Scotland,2,NA,NA,G
Dew of Ballindalloch,Scotland,2,1,84,D
Dew of Ben Alder,Scotland,4,NA,NA,G
Dew of Ben Nevis,Scotland,16,9,66.16,G
Dewar's,Scotland,88,51,79.75,E
Dhoon Glen,Scotland,1,1,80,D
Dhunomhainn,Scotland,1,NA,NA,G
Dice,Scotland,1,NA,NA,G
Die Whiskybotschaft GmbH,Germany,2,1,85,C
Diedenacker,Luxembourg,7,6,68.33,G
Diggers & Ditch,New Zealand,3,1,83.92,D
Dillon's,Canada,3,1,77,E
Dimple,Scotland,57,28,78.97,E
Diners,Scotland,4,2,89,C
Diners' Club,Scotland,1,NA,NA,G
Dingle,Ireland,13,12,81.55,D
Diomhair'eachd,,1,NA,NA,G
Diplomat Deluxe,India,NA,NA,NA,G
Diplomat Reserve,Scotland,1,NA,NA,G
Director's Choice,Scotland,1,1,72,F
Director's Reserve,Scotland,3,NA,NA,G
Dirker Whisky,Germany,3,2,78.25,E
Dirty Dianne,Scotland,1,1,86.64,C
Discovery Road,United Kingdom,4,1,82,D
Distillations,,1,NA,NA,G
Distilled at Islay,Scotland,1,NA,NA,G
Distillerie de Monsieur Balthazar,France,2,2,74.17,F
Distillerie du Pays d'Othe,France,3,3,71.83,F
Distillerie Theo Preiss,France,2,2,75.5,E
Distillery 291,United States,6,NA,NA,G
Diùn-Laoch,Scotland,1,1,81.25,D
Dixon's,Scotland,1,NA,NA,G
Do Good Distillery,United States,1,1,78.5,E
Doc Porter's,United States,NA,NA,NA,G
Doctors' Special,Scotland,2,1,84,D
Dog Head,Germany,2,NA,NA,G
Doinich Daal,Germany,3,3,77.17,E
Dolleruper,Germany,3,1,50,G
Domaine de Bourjac,France,1,1,71,F
Domaine des Hautes Glaces,France,23,15,78.69,E
Domus Cardinalis,France,1,1,80,D
Don of Schwetzingen,Germany,1,1,89.67,C
Don of the Isles,Germany,3,3,89.87,C
Donatella,Germany,8,2,90,B
Donker,Netherlands,3,3,80.58,D
Door County,United States,1,NA,NA,G
Dorfbachwasser,Switzerland,9,3,78.89,E
Double Barrel,Scotland,23,21,82.95,D
Double Cask,Scotland,3,3,84.95,D
Double Q,Scotland,1,1,76,E
Double Springs,United States,1,NA,NA,G
Dow's,Scotland,2,NA,NA,G
Dowling,United States,1,NA,NA,G
Downslope,United States,2,NA,NA,G
Doz de Dauzanges,France,1,1,65,G
Drago,Spain,1,1,77.5,E
Dram 101,Scotland,2,NA,NA,G
Dram House,Scotland,1,1,79,E
Dram Òrach,Scotland,1,NA,NA,G
Dram Regional,Scotland,9,9,83.01,D
Dram Select,Scotland,1,NA,NA,G
Dresdner Single Malt Whisky,Germany,1,NA,NA,G
Drexler,Germany,37,11,72.7,F
Driftwood,Scotland,1,1,73.5,F
Druichan Islay,Scotland,2,2,69,G
Drum,Indonesia,3,2,71,F
Drum Major,Scotland,3,3,77.44,E
Drumblade,Scotland,2,1,82.5,D
Drumbowie,Scotland,1,1,89,C
Drumguish,Scotland,9,4,65.63,G
Drummore's,Scotland,1,NA,NA,G
Drumochter,Scotland,2,NA,NA,G
Drury's,Scotland,1,1,81,D
Dry County Distillery,United States,4,NA,NA,G
Dry Fly,United States,15,11,80.36,D
Dublin,Ireland,1,1,77,E
Dublin in the Rare Ould Times,Ireland,1,1,76.75,E
Ducan's,Ireland,1,NA,NA,G
Duck Bay,Scotland,1,NA,NA,G
Dufftown,Scotland,265,186,84.99,D
Dufftown Highland Games,Scotland,1,NA,NA,G
Dufftown Tower Malt,Scotland,1,NA,NA,G
Duggan's Dew,Scotland,3,NA,NA,G
Duke,United States,1,1,70,F
Dumbarton,Scotland,55,36,86.51,C
Dumbarton Castle,Scotland,1,NA,NA,G
Dun Bheagan,Scotland,23,16,80.29,D
Dún Léire,Ireland,2,2,86.86,C
Dun Mhor,Scotland,4,1,79,E
Dun Naomhaig Bay,Scotland,2,2,87.11,C
Dun Naomhaig Water,Scotland,5,4,86.08,C
Dunadd,Scotland,6,NA,NA,G
Dunaverty,Scotland,3,3,88.13,C
Duncan Gilmour's,Scotland,1,NA,NA,G
Duncan MacGregor,Scotland,1,1,84,D
Duncan Special,Scotland,1,1,70,F
Duncraggan,Scotland,1,NA,NA,G
Duncraig,Scotland,2,NA,NA,G
Dundalgan,Ireland,2,2,74.5,F
Dundalk Dew,Ireland,1,1,82.75,D
Dundee 800,Scotland,1,NA,NA,G
Dunedin,New Zealand,3,1,76,E
Dunfermline Athletic Football Club,Scotland,2,NA,NA,G
Dunglass,Scotland,9,6,77.59,E
Dunhill,Scotland,9,NA,NA,G
Dunhillion,Scotland,1,NA,NA,G
Duniva,Scotland,1,NA,NA,G
Dunlow,Ireland,1,1,73,F
Dunnottar,Scotland,1,1,82,D
Dunnyveg,Scotland,1,1,84,D
Dunosdale Cream,Scotland,1,NA,NA,G
Dunphy's,Ireland,2,2,75.75,E
Dunstone,Scotland,3,1,20,G
Duntreath,Scotland,1,NA,NA,G
Dunvegan,Scotland,2,NA,NA,G
Dunvegan Castle,Scotland,1,NA,NA,G
Dunville's,Ireland,8,5,79,E
Dunwoodie,Scotland,1,NA,NA,G
Dunyvaig,Scotland,5,5,88.73,C
Dunyvaig Bay,Scotland,1,1,85.67,C
Duo Malt Whisky,Germany,1,1,85.5,C
Dutch Guts,Netherlands,4,1,84,D
DutchSky,Netherlands,2,2,61.03,G
Duvel Moortgat,Belgium,2,2,43.73,G
DYC,Spain,20,10,68.87,G
Dyflin,Ireland,1,1,78,E
E&K,,1,1,88.43,C
Eades,Scotland,6,3,82.67,D
Eagle of Spey,Scotland,8,6,87.53,C
Eagle Rare,United States,53,37,85.89,C
Eaglesburn,Netherlands,6,3,81,D
Eaglesome's,Scotland,3,NA,NA,G
Early Times,United States,21,8,76.01,E
East Lothian,Scotland,1,1,86.5,C
East Marypark Distillery,Scotland,1,1,86.4,C
East Shore Islay Malt,Scotland,1,1,85.2,C
Eastmoor,Netherlands,4,4,78.22,E
Eaton's,Scotland,3,1,82,D
Eau Claire Distillery,Canada,1,NA,NA,G
Ebenezer Place,Scotland,1,NA,NA,G
Echo Spring,United States,3,NA,NA,G
Eckes,Austria,2,NA,NA,G
Ed Gwenn,France,1,1,80,D
Eddu,France,12,12,78.65,E
Edelbrände Senft,Germany,13,11,72.43,F
Eden Mill,Scotland,22,16,83.02,D
Edenside,Scotland,1,NA,NA,G
Edgefield,United States,8,3,81,D
Edinburgh,Scotland,1,NA,NA,G
Edinburgh Castle,Scotland,3,3,74.33,F
Edinburgh Festival,Scotland,12,5,84.57,D
Edinburgh Woollen Mill,Scotland,1,NA,NA,G
Edinburgh's Hogmanay,Scotland,1,NA,NA,G
Edradour,Scotland,795,639,83.27,D
Egan's,Ireland,2,1,82.67,D
EH10,Scotland,1,NA,NA,G
Eifel Destillate,Germany,29,13,77.81,E
Eigashima,Japan,3,2,85.09,C
Eiger Wasser,Switzerland,1,1,84,D
Eight Fellows,Scotland,1,NA,NA,G
Eighteen 33,United States,2,1,75,E
Eiktyrne,Norway,6,6,81.21,D
Eilan Gillan,Scotland,5,5,78.75,E
Eilean A'cheo,Scotland,1,NA,NA,G
Eilean Dhubh,Scotland,1,NA,NA,G
Eilean Donan Castle,Scotland,2,NA,NA,G
Eilean Na Hearadh,Scotland,1,NA,NA,G
Eileandour,Scotland,1,NA,NA,G
Éim Néckels,Luxembourg,1,1,78,E
El Máximo,Scotland,8,8,84.71,D
Elbe 1,Germany,4,3,71.89,F
Elbe-Valley NORDIK Whisky,Germany,4,4,60.67,G
Elch Whisky,Germany,5,5,84.28,D
Eleuthera,Scotland,6,4,87.94,C
Elijah Craig,United States,221,71,85.51,C
Elk Rider,United States,7,3,79.33,E
Ellensburg,United States,1,NA,NA,G
Ellenstown,Scotland,2,1,77,E
Ellington Reserve,Canada,1,NA,NA,G
Ellis's 99,Scotland,1,NA,NA,G
Elmer T. Lee,United States,8,6,84.48,D
Elsass Whisky,France,4,3,81.92,D
Embassy,United States,1,NA,NA,G
Embassy,Philippines,1,NA,NA,G
Embassy Club,Scotland,1,NA,NA,G
Emblem,Japan,1,NA,NA,G
Emerald Isle,Ireland,3,3,90.82,B
Empire 8,Australia,1,1,78,E
Enchanting Emma,Scotland,1,1,86.8,C
Enghaven,Denmark,1,1,61,G
Engine 49,United States,4,1,87,C
English Spirit Distillery,United Kingdom,4,4,87.13,C
Enlightenment,Scotland,2,2,85.92,C
Entrapment,Canada,1,1,100,A
Envy,England,1,NA,NA,G
Eorna,Scotland,1,1,78,E
Eòrna-Lòin,Scotland,1,1,82.75,D
Epicure,Scotland,1,NA,NA,G
Equipo Navazos,,1,1,86,C
eRètico,Italy,1,1,61.33,G
Ergaster,France,1,1,73,F
Erin Go Bragh,Ireland,2,1,85,C
Erin's,Ireland,2,2,84.5,D
Erin's Isle,Ireland,2,1,75,E
Erismann,Switzerland,2,2,79.5,E
Erlebnisbrennerei Kallnach,Switzerland,3,3,73.83,F
Esquire,Scotland,2,1,81,D
Evan Williams,United States,172,88,82.42,D
Evan Williams 1783,United States,3,1,80,D
Everclear,United States,1,1,70,F
Evermore,Japan,8,1,87,C
Everton's,Scotland,1,NA,NA,G
Evolution,Scotland,9,8,88.92,C
Excalibur,Scotland,6,2,83.29,D
